,RAW DATA,,,,,
64,Software Product Management,University of Alberta,SPECIALIZATION,4.60,Beginner,"110,000.00"
65,The Business of Health Care,University of Pennsylvania,SPECIALIZATION,4.60,Beginner,"22,000.00"
66,Fintech: Foundations & Applications of Financial Technology,University of Pennsylvania,SPECIALIZATION,4.60,Beginner,"20,000.00"
67,"TESOL Certificate, Part 1: Teach English Now!",Arizona State University,SPECIALIZATION,4.90,Beginner,"100,000.00"
68,Stanford Introduction to Food and Health,Stanford University,COURSE,4.70,Beginner,"370,000.00"
69,Writing in the Sciences,Stanford University,COURSE,4.90,Beginner,"140,000.00"
70,Data Visualization with Tableau,"University of California, Davis",SPECIALIZATION,4.50,Beginner,"96,000.00"
71,Viral Marketing and How to Craft Contagious Content,University of Pennsylvania,COURSE,4.70,Mixed,"150,000.00"
72,"Brand Management: Aligning Business, Brand and Behaviour",London Business School,COURSE,4.90,Beginner,"57,000.00"
73,Management of Fashion and Luxury Companies,Università Bocconi,COURSE,4.70,Mixed,"120,000.00"
74,Learn SQL Basics for Data Science,"University of California, Davis",SPECIALIZATION,4.60,Beginner,"160,000.00"
75,Agile Development,University of Virginia,SPECIALIZATION,4.70,Beginner,"94,000.00"
76,Genomic Data Science,Johns Hopkins University,SPECIALIZATION,4.40,Intermediate,"80,000.00"
77,Fundamentals of Project Planning and Management,University of Virginia,COURSE,4.70,Beginner,"120,000.00"
78,Algorithms,Stanford University,SPECIALIZATION,4.80,Intermediate,"150,000.00"
79,Geographic Information Systems  (GIS),"University of California, Davis",SPECIALIZATION,4.80,Beginner,"97,000.00"
80,Investment Management,University of Geneva,SPECIALIZATION,4.70,Beginner,"99,000.00"
81,The DIY Musician,Berklee College of Music,SPECIALIZATION,4.80,Beginner,"120,000.00"
82,Reinforcement Learning,University of Alberta,SPECIALIZATION,4.70,Intermediate,"23,000.00"
83,Social Psychology,Wesleyan University,COURSE,4.70,Beginner,"220,000.00"
84,Statistics with R,Duke University,SPECIALIZATION,4.70,Beginner,"220,000.00"
85,Financial Accounting Fundamentals,University of Virginia,COURSE,4.80,Beginner,"65,000.00"
86,Object Oriented Programming in Java,Duke University,SPECIALIZATION,4.60,Beginner,"330,000.00"
87,Methods and Statistics in Social Sciences,University of Amsterdam,SPECIALIZATION,4.60,Beginner,"260,000.00"
88,What is Data Science?,IBM,COURSE,4.70,Beginner,"260,000.00"
89,Full-Stack Web Development with React,The Hong Kong University of Science and Technology,SPECIALIZATION,4.70,Intermediate,"140,000.00"
90,Learning to Teach Online,UNSW Sydney (The University of New South Wales),COURSE,4.70,Beginner,"68,000.00"
91,Managing Innovation and Design Thinking,HEC Paris,SPECIALIZATION,4.70,Beginner,"23,000.00"
92,Excel Skills for Business: Essentials,Macquarie University,COURSE,4.90,Beginner,"200,000.00"
93,Strategic Leadership and Management,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.70,Beginner,"100,000.00"
94,Music Production,Berklee College of Music,SPECIALIZATION,4.80,Beginner,"70,000.00"
95,Cisco Networking Basics,Cisco,SPECIALIZATION,4.70,Beginner,"57,000.00"
96,Business Statistics and Analysis,Rice University,SPECIALIZATION,4.70,Beginner,"110,000.00"
97,The Business of Music Production,Berklee College of Music,SPECIALIZATION,4.80,Beginner,"84,000.00"
98,IT Fundamentals for Cybersecurity,IBM,SPECIALIZATION,4.50,Beginner,"35,000.00"
99,Fashion as Design,The Museum of Modern Art,COURSE,4.80,Beginner,"180,000.00"
100,Design Thinking for Innovation,University of Virginia,COURSE,4.60,Beginner,"240,000.00"
101,Modern Art & Ideas,The Museum of Modern Art,COURSE,4.70,Beginner,"310,000.00"
102,Food & Beverage Management,Università Bocconi,COURSE,4.80,Mixed,"57,000.00"
103,Advanced Machine Learning,National Research University Higher School of Economics,SPECIALIZATION,4.50,Advanced,"190,000.00"
104,Business Strategy,University of Virginia,SPECIALIZATION,4.70,Beginner,"89,000.00"
105,Photography Basics and Beyond: From Smartphone to DSLR,Michigan State University,SPECIALIZATION,4.70,Beginner,"160,000.00"
106,Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,COURSE,4.90,Mixed,"210,000.00"
107,Camino a la Excelencia en Gestión de Proyectos,Pontificia Universidad Católica de Chile,COURSE,4.70,Beginner,"340,000.00"
108,Full Stack Web and Multiplatform Mobile App Development,The Hong Kong University of Science and Technology,SPECIALIZATION,4.70,Intermediate,"150,000.00"
109,Finding Purpose and Meaning In Life: Living for What Matters Most,University of Michigan,COURSE,4.70,Beginner,"36,000.00"
110,Indigenous Canada,University of Alberta,COURSE,4.80,Mixed,"51,000.00"
111,Python Data Structures,University of Michigan,COURSE,4.90,Mixed,"420,000.00"
112,Learn Spanish: Basic Spanish Vocabulary,"University of California, Davis",SPECIALIZATION,4.60,Beginner,"80,000.00"
113,First Step Korean,Yonsei University,COURSE,4.90,Beginner,"400,000.00"
114,Private Equity and Venture Capital,Università Bocconi,COURSE,4.80,Mixed,"79,000.00"
115,G Suite Administration,Google Cloud,SPECIALIZATION,4.70,Beginner,"10,000.00"
116,Organizational Leadership,Northwestern University,SPECIALIZATION,4.70,Intermediate,"92,000.00"
117,User Experience Research and Design,University of Michigan,SPECIALIZATION,4.80,Beginner,"23,000.00"
118,The Singer Songwriter,Berklee College of Music,SPECIALIZATION,4.80,Beginner,"320,000.00"
119,Anatomy,University of Michigan,SPECIALIZATION,4.80,Beginner,"30,000.00"
120,Intellectual Property Law,University of Pennsylvania,SPECIALIZATION,4.80,Intermediate,"8,700.00"
121,Science of Exercise,University of Colorado Boulder,COURSE,4.80,Beginner,"140,000.00"
122,Electronic Music Production,Berklee College of Music,SPECIALIZATION,4.80,Intermediate,"110,000.00"
123,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",deeplearning.ai,COURSE,4.90,Beginner,"270,000.00"
124,Excel/VBA for Creative Problem Solving,University of Colorado Boulder,SPECIALIZATION,4.80,Beginner,"56,000.00"
125,Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,SPECIALIZATION,4.50,Intermediate,"72,000.00"
126,Business Strategies for A Better World,University of Pennsylvania,SPECIALIZATION,4.70,Beginner,"24,000.00"
127,Statistics with Python,University of Michigan,SPECIALIZATION,4.60,Beginner,"34,000.00"
128,Interaction Design,University of California San Diego,SPECIALIZATION,4.50,Intermediate,"150,000.00"
129,AI for Medical Diagnosis,deeplearning.ai,COURSE,4.70,Intermediate,"12,000.00"
130,Fundamentals of Immunology,Rice University,SPECIALIZATION,4.70,Intermediate,"20,000.00"
131,Biostatistics in Public Health,Johns Hopkins University,SPECIALIZATION,4.80,Beginner,"14,000.00"
132,Машинное обучение и анализ данных,E-Learning Development Fund,SPECIALIZATION,4.70,Intermediate,"77,000.00"
133,The Art of Sales: Mastering the Selling Process,Northwestern University,SPECIALIZATION,4.70,Beginner,"23,000.00"
134,(ISC)² Systems Security Certified Practitioner (SSCP),(ISC)²,SPECIALIZATION,4.70,Beginner,"5,300.00"
135,The Bits and Bytes of Computer Networking,Google,COURSE,4.70,Beginner,"130,000.00"
136,Introduction to Marketing,University of Pennsylvania,COURSE,4.80,Mixed,"220,000.00"
137,Executive Data Science,Johns Hopkins University,SPECIALIZATION,4.50,Beginner,"170,000.00"
138,The Strategy of Content Marketing,"University of California, Davis",COURSE,4.50,Intermediate,"100,000.00"
139,Design and Interpretation of Clinical Trials,Johns Hopkins University,COURSE,4.70,Mixed,"67,000.00"
140,Marketing Mix Implementation,IE Business School,SPECIALIZATION,4.60,Beginner,"93,000.00"
141,Game Theory,Stanford University,COURSE,4.60,Beginner,"260,000.00"
